"ATAC_SYMBOL","ENSEMBL","RNA_SYMBOL","RNA_logFC","RNA_P_Value","Avg_ATAC_logFC","nb_sig_peak","GENENAME","BAF.gene","TF.gene"
"CLSTN2","ENSG00000158258","CLSTN2",0.467810042779293,0.858557273323617,1.48570529079708,1,"calsyntenin 2","NO","NO"
"CLYBL","ENSG00000125246","CLYBL",0.0660537848140206,0.816708888319729,-0.08354406997001,2,"citramalyl-CoA lyase","NO","NO"
"CMIP","ENSG00000153815","CMIP",-0.0162921570765739,0.92571301993342,-0.415275353007557,3,"c-Maf inducing protein","NO","NO"
"CMSS1","ENSG00000184220","CMSS1",0.0824483316864066,0.647974213455156,-0.887016144482054,1,"cms1 ribosomal small subunit homolog","NO","NO"
"CNEP1R1","ENSG00000205423","CNEP1R1",-0.0539265165215221,0.813526306996819,-0.63861505149573,3,"CTD nuclear envelope phosphatase 1 regulatory subunit 1","NO","NO"
"CNGA1","ENSG00000198515","CNGA1",-0.186733008659824,0.707906306956615,-1.25711477263605,1,"cyclic nucleotide gated channel subunit alpha 1","NO","NO"
"CNKSR3","ENSG00000153721","CNKSR3",-0.070940725107647,0.698128509645901,1.24973198875147,1,"CNKSR family member 3","NO","NO"
"CNOT2","ENSG00000111596","CNOT2",-0.0323131563515018,0.822963874672798,-1.59438521267457,1,"CCR4-NOT transcription complex subunit 2","NO","NO"
"CNOT7","ENSG00000198791","CNOT7",0.0962455351120539,0.566307580863149,0.673231472493308,1,"CCR4-NOT transcription complex subunit 7","NO","YES"
"CNPPD1","ENSG00000115649","CNPPD1",0.14945173541951,0.497883535863278,-1.01204031252746,1,"cyclin Pas1/PHO80 domain containing 1","NO","NO"
"CNPY4","ENSG00000166997","CNPY4",-0.377135831817889,0.574976068067239,1.21120612468788,1,"canopy FGF signaling regulator 4","NO","NO"
"CNTNAP3B","ENSG00000154529","CNTNAP3B",0.185186788918497,0.60031962280789,-1.16571451847225,1,"contactin associated protein family member 3B","NO","NO"
